title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance
Prototype-Guided Latent Alignment for Data-Efficient Fine-Tuning of Molecular Foundation Models	2026-05-28	ArXiv.org		https://arxiv.org/abs/2605.29969	0	19.167	dft,equivariant_ml,foundation_model,gnn,h2,high_throughput,interatomic_potential,ml,transfer_learning,uncertainty	Machine learning interatomic potentials (MLIPs) have transformed materials discovery by leveraging graph neural networks (GNNs) to predict material properties with near density functional theory (DFT) accuracy.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
MEIDNet: multimodal generative AI framework for inverse materials design	2026-05-29	npj Computational Materials	https://doi.org/10.1038/s41524-026-02153-3	https://doi.org/10.1038/s41524-026-02153-3	0	17.878	dft,equivariant_ml,generative_model,gnn,h2,ml,multimodal,perovskite,priority_journal,self_supervised	In this work, we present Multimodal Equivariant Inverse Design Network (MEIDNet), a framework that jointly learns structural information and materials properties through contrastive learning, while encoding structures via an equivariant graph neural network (EGNN).	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
A graph neural network for the era of large atomistic models	2026-05-25	npj Computational Materials	https://doi.org/10.1038/s41524-026-02146-2	https://doi.org/10.1038/s41524-026-02146-2	3	17.420	battery,catalysis,dft,foundation_model,gnn,h2,interatomic_potential,ml,priority_journal,transfer_learning,two_d_material	We present DPA3, a multi-layer graph neural network founded on line graph series (LiGS), designed for the era of LAMs.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
Towards Automated Discovery: A Review of Generative Models, Multimodal Learning and Closed-Loop Workflows in Inverse Materials Design	2026-06-01	ArXiv.org		https://arxiv.org/abs/2606.02507	0	17.111	active_learning,crystal,generative_model,h2,high_throughput,md,multimodal,physics_informed,review	Inverse materials design is shifting materials discovery from forward prediction to targeted proposal of candidates that satisfy objectives under physical constraints.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Towards Automated Discovery: A Review of Generative Models, Multimodal Learning and Closed-Loop Workflows in Inverse Materials Design	2026-06-01	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2606.02507	https://doi.org/10.48550/arxiv.2606.02507	0	17.111	active_learning,crystal,generative_model,h2,high_throughput,md,multimodal,physics_informed,review	Inverse materials design is shifting materials discovery from forward prediction to targeted proposal of candidates that satisfy objectives under physical constraints.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Guided diffusion for the discovery of new superconductors	2026-05-28	npj Computational Materials	https://doi.org/10.1038/s41524-026-02117-7	https://doi.org/10.1038/s41524-026-02117-7	0	16.467	dft,foundation_model,generative_model,high_throughput,md,ml,priority_journal	We present a guided diffusion framework to accelerate the discovery of novel superconductors.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Stein Kernelized Molecular Dynamics for Active Learning of Interatomic Potentials	2026-06-02	ArXiv.org		https://arxiv.org/abs/2606.04100	0	15.922	active_learning,equivariant_ml,h2,interatomic_potential,md,ml,physics_informed,transfer_learning	We introduce Stein kernelized molecular dynamics (SKMD), an enhanced sampling method that uses interacting particle dynamics to acquire informative training configurations for the active learning and fine-tuning of MLIPs.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
Differentiable Particle-Mesh Ewald with Cartesian Tensor Message Passing for Learning Long-Range Electrostatics and Dipole Response	2026-06-01	arXiv (Cornell University)		https://arxiv.org/abs/2606.01598	0	15.911	equivariant_ml,gnn,h2,interatomic_potential,md,ml,physics_informed,separation,uncertainty	Here we introduce a fully differentiable PME framework for learned charges and learned atomic dipoles within an E(n)-equivariant Cartesian tensor message passing network.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.
Non-covalent Interactions at cm$^{-1}$ Accuracy: Data Efficient Physics-Informed Distillation for Machine Learning Interatomic Potentials	2026-06-03	ArXiv.org		https://arxiv.org/abs/2606.05127	0	15.133	foundation_model,h2,interatomic_potential,ml,physics_informed,transfer_learning	Here we show that knowledge distillation from a pretrained universal machine-learning interatomic potential (MLIP), followed by coupled-cluster fine-tuning with single and double excitations and perturbative triples [CCSD(T)], transfers not only low-cost labels but a physically meaningful prior on interaction length scales, anisotropy, and the repulsive-dispersive balance, which CCSD(T) data then sharpens to quantum-chemical accuracy.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
A Systematic Survey and Benchmark of Deep Learning for Molecular Property Prediction in the Foundation Model Era	2026-05-07	Journal of Chemical Theory and Computation	https://doi.org/10.1021/acs.jctc.5c02081	https://doi.org/10.1021/acs.jctc.5c02081	0	15.033	foundation_model,h2,high_throughput,ml,multimodal,review,uncertainty	This survey traces four complementary paradigms, including Quantum, Descriptor Machine Learning, Geometric Deep Learning, and Foundation Models, and outlines a unified taxonomy linking molecular representations, model architectures, and interdisciplinary applications.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
