title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
Strength of Interlayer Metal–Metal Coupling as Key Active Site Configuration and Atomic Descriptor for Single-Atom Catalysts	2026-07-09	Journal of the American Chemical Society	https://doi.org/10.1021/jacs.6c04989	https://doi.org/10.1021/jacs.6c04989	0	19.589	catalysis,catalyst_descriptor,electrocatalysis,h2,ml,priority_journal,separation,uncertainty	Using machine learning and data mining, we further identify local electronic-structure descriptors that enable quantitative structure-activity relationships to guide catalyst design.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Strength of Interlayer Metal–Metal Coupling as Key Active Site Configuration and Atomic Descriptor for Single-Atom Catalysts	2026-07-09	Figshare	https://doi.org/10.1021/jacs.6c04989.s001	https://figshare.com/articles/journal_contribution/Strength_of_Interlayer_Metal_Metal_Coupling_as_Key_Active_Site_Configuration_and_Atomic_Descriptor_for_Single-Atom_Catalysts/32948290	0	16.089	catalysis,catalyst_descriptor,electrocatalysis,h2,ml,separation,uncertainty	Using machine learning and data mining, we further identify local electronic-structure descriptors that enable quantitative structure–activity relationships to guide catalyst design.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Accelerating Catalyst Materials Discovery With Large Artificial Intelligence Models	2026-02-17	Angewandte Chemie International Edition	https://doi.org/10.1002/anie.202526150	https://doi.org/10.1002/anie.202526150	17	15.501	active_learning,catalysis,foundation_model,h2,high_throughput,interatomic_potential,ml,multimodal,priority_journal	The integration of artificial intelligence (AI) into catalysis is fundamentally reshaping the research paradigm of catalyst discovery.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Machine learning approaches for electrocatalyst design in water splitting: a review for green hydrogen production	2026-07-31	Frontiers in Chemistry	https://doi.org/10.3389/fchem.2026.1894425	https://doi.org/10.3389/fchem.2026.1894425	0	15.433	active_learning,alloy,catalysis,catalyst_descriptor,dft,generative_model,gnn,h2,high_throughput,ml,review,water	First, the thermodynamic and kinetic principles of the hydrogen and oxygen evolution reactions are summarised, along with some well-adopted and accepted activity descriptors.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Machine learning-accelerated inverse design of energy materials: A critical review of graph neural networks, physics-informed models, and generative AI for batteries, perovskite solar cells, and electrocatalysts	2026-07-30	Next Materials	https://doi.org/10.1016/j.nxmate.2026.102969	https://doi.org/10.1016/j.nxmate.2026.102969	0	15.222	active_learning,battery,catalysis,crystal,dft,electrocatalysis,electrolyte,generative_model,gnn,h2,high_throughput,md,ml,perovskite,physics_informed,review,uncertainty	The global urgency to transition away from fossil fuels has placed extraordinary pressure on materials scientists to deliver breakthroughs in energy storage, solar energy conversion, and electrocatalysis — and to deliver them faster than the conventional trial-and-error research cycle allows.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Boosting Computational Catalysis and Chemical Reactivity with Artificial Intelligence	2026-02-20	Journal of the American Chemical Society	https://doi.org/10.1021/jacs.5c17786	https://doi.org/10.1021/jacs.5c17786	6	14.790	catalysis,foundation_model,generative_model,interatomic_potential,ml,priority_journal,review,separation	Artificial intelligence (AI) and machine learning (ML) are rapidly reshaping the landscape of computational chemistry, offering new opportunities for accelerating catalyst discovery and deepening our understanding of chemical reactivity.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
High-Entropy Oxides for Energy Storage and Electrocatalysis: Defect Chemistry, Entropy Stabilization, and Structure–Performance Design Rules	2026-08-08	NanoNEXT	https://doi.org/10.54392/nnxt2631	https://doi.org/10.54392/nnxt2631	0	12.922	active_learning,battery,catalysis,crystal,dft,electrocatalysis,electrolyte,generative_model,h2,high_throughput,ml,oxide,perovskite,review	Particular attention is given to oxygen vacancies, mixed-valence cations, short-range ordering, operando surface reconstruction, and descriptor-based catalyst design.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Regulation of two-layer hydrogen adsorption in Metal-doped MXenes: few-shot learning, mechanisms, and transferability	2026-07-31	npj Computational Materials	https://doi.org/10.1038/s41524-026-02257-w	https://doi.org/10.1038/s41524-026-02257-w	0	12.533	adsorption,dft,h2,high_throughput,ml,priority_journal,transfer_learning,two_d_material	MXenes are promising hydrogen-storage materials with high surface areas and tunable electronic structures, but whether single-atom doping can balance first-layer chemisorption and second-layer physisorption remains unclear.	Likely sensitive to training-set coverage and transferability across chemistries. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Low curvature combined with high amorphization improves SERS sensitivity of semiconducting Rh–Se mesoporous nanospheres toward non-adsorbing resistant pollutants	2026-08-07	Nature Communications	https://doi.org/10.1038/s41467-026-75365-2	https://doi.org/10.1038/s41467-026-75365-2	0	12.111	alloy,catalysis,catalyst_descriptor,crystal,h2,priority_journal	Here we show a one-step micellar self-assembly reduction method to produce amorphous semiconducting Rh–Se mesoporous nanospheres (a-Rh–Se MNs).	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
AI-Guided Single-Atom Electrocatalysts for Carbon-Neutral Chemical Manufacturing: from CO₂ Conversion to Green Ammonia Synthesis	2026-07-25	Scholars International Journal of Chemistry and Material Sciences	https://doi.org/10.36348/sijcms.2026.v09i04.004	https://doi.org/10.36348/sijcms.2026.v09i04.004	0	11.967	active_learning,catalysis,co2,dft,h2,high_throughput,ml,oxide,review,separation	Next, machine learning, density functional theory integration, high-throughput screening, explainable descriptors, and self-driving laboratory concepts are evaluated as tools for rational catalyst development.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
TiO2-facet-dependent reconstruction of Pt nanoparticles during CO oxidation	2026-08-08	Nature Communications	https://doi.org/10.1038/s41467-026-76568-3	https://doi.org/10.1038/s41467-026-76568-3	0	11.622	dft,gnn,h2,ml,oxide,priority_journal	Facet engineering of reducible oxide supports is a powerful strategy for tuning metal–support interactions.	Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled. Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Representation-learning advance may transfer to MOFs after adding porous-crystal topology and metal-node chemistry.	adjacent materials	Benchmark the representation on periodic MOF graphs with explicit node/linker chemistry and pore topology.
Dual-atom catalysts for lithium-sulfur battery cathodes: Synthesis, characterization, and catalytic mechanisms	2026-08-01	Materials Reports Energy	https://doi.org/10.1016/j.matre.2026.100451	https://doi.org/10.1016/j.matre.2026.100451	0	11.544	battery,catalysis,catalyst_descriptor,co2,h2,review	Lithium-sulfur batteries (LSBs) stand out as premier next-generation energy storage technologies due to to their exceptional theoretical specific capacity and energy density.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
