title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance
Smart Catalyst Design: Integrating Structure–Activity Relationships with Computational and Data-Driven Approaches	2026-04-22	International Journal of Creative and Open Research in Engineering and Management	https://doi.org/10.55041/ijcope.v2i4.571	https://doi.org/10.55041/ijcope.v2i4.571	0	9.167	catalysis,co2,electrocatalysis,high_throughput,ml,mof,review,separation	Special attention is given to the emerging approaches based on the exploitation of designer-like methods, high-throughput experimentation, and data-driven approaches, to explore huge compositional and structural spaces.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
Descriptor Adequacy as a Materials-Regime Principle in MOF Adsorption Machine Learning	2026-07-03	ChemRxiv	https://doi.org/10.26434/chemrxiv.15002252/v2	https://doi.org/10.26434/chemrxiv.15002252/v2	0	8.967	adsorption,force_field,h2,high_throughput,ml,mof,separation,uncertainty	Machine learning is changing how metal--organic frameworks (MOFs) are screened for gas storage and separation, but its reliability depends on a basic question: does the descriptor contain the physics that controls the adsorption property?	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
FLAMES – A flexible and extensible code for Monte Carlo simulations of nanoporous materials	2026-06-11	ChemRxiv	https://doi.org/10.26434/chemrxiv.15004623/v1	https://doi.org/10.26434/chemrxiv.15004623/v1	0	8.722	adsorption,cof,dft,force_field,gcmc,h2,interatomic_potential,md,mof,porous_material,zeolite	Here, we introduce FLAMES (Flexible Lattice Adsorption by Monte Carlo Engine Simulation), a new software package designed to perform Monte Carlo-based simulations of nanoporous materials using MLIPs and other energy calculation methods, paving the way for more accurate and physically realistic molecular simulations.	Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Applied Design Strategies for MOFs in CO 2 Capture: Balancing Stability, Selectivity, and Scalability	2026-06-01	ChemistrySelect	https://doi.org/10.1002/slct.73531	https://doi.org/10.1002/slct.73531	0	8.611	co2,h2,high_throughput,ml,mof,oxide,porous_material,review,separation	ABSTRACT Metal–organic frameworks (MOFs) have become promising materials for capturing carbon dioxide from industrial sources and the atmosphere due to their adjustable porosity, high surface areas, and customizable chemical properties.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
Sustainable Metal-Organic Framework Water Harvesters in the Artificial Intelligence Era	2026-05-27	arXiv (Cornell University)		https://arxiv.org/abs/2605.29179	0	8.556	adsorption,crystal,foundation_model,generative_model,h2,mof,review,separation,water	Metal-organic frameworks (MOFs) are excellent candidates for water harvesting due to their tunable pore environments, which can be precisely engineered to capture and release water in arid conditions.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
AI-integrated manufacturing of advanced materials for energy storage, catalysis, and environmental applications	2026-07-03	Frontiers in Chemistry	https://doi.org/10.3389/fchem.2026.1864044	https://doi.org/10.3389/fchem.2026.1864044	0	8.467	active_learning,adsorption,catalysis,co2,dft,electrocatalysis,h2,high_throughput,ml,mof,separation	The incorporation of artificial intelligence (AI) into energy systems has become a transformative strategy for tackling global energy related challenges, particularly energy vulnerability (EVI).	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
ReadMOF: Structure-Free Semantic Embeddings from Systematic MOF Nomenclature for Machine Learning	2026-04-13	ChemRxiv	https://doi.org/10.26434/chemrxiv.15001888/v1	https://doi.org/10.26434/chemrxiv.15001888/v1	0	8.067	foundation_model,h2,high_throughput,ml,mof	Here we introduce ReadMOF, which is, to our knowledge, the first nomenclature-free machine learning framework that leverages these names to model structure-property relationships without requiring atomic coordinates or connectivity graphs.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
ReadMOF: Structure-Free Semantic Embeddings from Systematic MOF Nomenclature for Machine Learning	2026-04-12	arXiv (Cornell University)		https://arxiv.org/abs/2604.10568	0	8.056	foundation_model,h2,high_throughput,ml,mof	Here we introduce ReadMOF, which is, to our knowledge, the first nomenclature-free machine learning framework that leverages these names to model structure-property relationships without requiring atomic coordinates or connectivity graphs.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Interpretable Inverse Design of Metal-Organic Frameworks with Large Language Model Agents	2026-06-28	arXiv (Cornell University)		https://arxiv.org/abs/2606.29459	0	7.911	active_learning,adsorption,foundation_model,generative_model,h2,high_throughput,mof,separation	We introduce LLM4MOF, a closed-loop framework in which language-model agents reason about chemistry, build candidate MOFs, and test them in simulation, refining hypotheses over ten autonomous iterations.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
An XGBoost Framework for Predicting CO2 Adsorption Performance and Adsorbent Classification	2026-06-26	Processes	https://doi.org/10.3390/pr14132081	https://doi.org/10.3390/pr14132081	0	7.889	adsorption,co2,h2,high_throughput,ml,mof,oxide,polymer,porous_material,separation,water,zeolite	In this project, a machine-learning-based framework is developed to predict CO2 adsorption capacity and identify the most suitable adsorbent material using process and material parameters.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
Comparative entropy analysis of 2D transition metal tetrahydroxyquinones via machine learning approaches	2026-01-31	Scientific Reports	https://doi.org/10.1038/s41598-026-37731-4	https://doi.org/10.1038/s41598-026-37731-4	0	7.267	h2,ml,mof,oxide	To this end, we develop and compare three machine learning based regression models: logarithmic, random forest, and XGBoost.	Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
