title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance
Evaluating mechanical property prediction across material classes using molecular dynamics simulations with universal machine-learned interatomic potentials	2026-05-06	Communications Chemistry	https://doi.org/10.1038/s42004-026-02057-9	https://doi.org/10.1038/s42004-026-02057-9	0	11.289	dft,equivariant_ml,force_field,gnn,h2,high_throughput,interatomic_potential,md,ml,mof	Simulating the mechanical and thermal properties of materials requires accurate treatment of interatomic interactions, yet quantum-mechanical methods can be computationally prohibitive for the time scales needed.	Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled. Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties. Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
MOFBuilder: automated end-to-end modeling of MOF dynamics for high-throughput screening	2026-04-17	npj Computational Materials	https://doi.org/10.1038/s41524-026-02086-x	https://doi.org/10.1038/s41524-026-02086-x	0	11.078	adsorption,high_throughput,md,ml,mof,porous_material,priority_journal,separation	We introduce MOFBuilder, a modular end-to-end pipeline that leverages molecular-level identities to automatically generate chemically consistent, molecular dynamics (MD) ready MOF models, flexibly supporting periodic, defective, cluster, and slab representations.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
LEGO-MOF: Equivariant Latent Manipulation for Editable, Generative, and Optimizable MOF Design	2026-04-15	ArXiv.org		https://arxiv.org/abs/2604.13520	0	10.556	adsorption,co2,equivariant_ml,generative_model,h2,md,ml,mof,separation,surrogate_model	Building upon this, we introduce a test-time optimization (TTO) strategy, utilizing an accurate surrogate model to continuously optimize the latent graphs of existing MOFs toward desired properties.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Smart Catalyst Design: Integrating Structure–Activity Relationships with Computational and Data-Driven Approaches	2026-04-22	International Journal of Creative and Open Research in Engineering and Management	https://doi.org/10.55041/ijcope.v2i4.571	https://doi.org/10.55041/ijcope.v2i4.571	0	9.633	catalysis,co2,electrocatalysis,high_throughput,ml,mof,review,separation	Special attention is given to the emerging approaches based on the exploitation of designer-like methods, high-throughput experimentation, and data-driven approaches, to explore huge compositional and structural spaces.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
aim2dat: A Python infrastructure for automated ab initio material modeling and data analysis	2026-04-29	ArXiv.org		https://arxiv.org/abs/2604.26551	0	9.211	battery,dft,h2,high_throughput,ml,mof	Herein, we introduce the Automated Ab Initio Materials Modeling and Data Analysis Toolkit (aim2dat), a Python package offering a user-friendly interface to generate and handle big data, design high-throughput workflows based on density functional theory calculations, and analyze the output.	Likely sensitive to training-set coverage and transferability across chemistries. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.
Supporting Dataset for Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry	2026-04-28	The University of Adelaide	https://doi.org/10.25909/32061111	https://doi.org/10.25909/32061111	0	8.700	crystal,dft,high_throughput,interatomic_potential,md,mof	This dataset contains computational data supporting the research article "Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry." The repository includes ab initio molecular dynamics (AIMD) trajectories, CP2K input files, and analysis scripts used in the study.	Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry	2026-04-28	ArXiv.org		https://arxiv.org/abs/2604.25262	0	8.700	co2,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,md,mof,separation	Here, we present a new high-temperature benchmarking dataset of 40~ps ab~initio molecular dynamics (AIMD) trajectories simulated at 300, 1000, and 2000 K for nine zinc- and zirconium-based metal-organic frameworks (MOFs): ZIF-8, CALF-20, MOF-10, MOF-5, MIP-206, UiO-66, UiO-67, UiO-66-NH2, and NU-1000.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Supporting Dataset for Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry	2026-04-28	The University of Adelaide	https://doi.org/10.25909/32061111.v1	https://doi.org/10.25909/32061111.v1	0	8.700	crystal,dft,high_throughput,interatomic_potential,md,mof	This dataset contains computational data supporting the research article "Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry." The repository includes ab initio molecular dynamics (AIMD) trajectories, CP2K input files, and analysis scripts used in the study.	Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
Benchmarking Universal Machine-Learned Interatomic Potentials for High-Temperature Metal-Organic Framework Chemistry	2026-04-28	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2604.25262	https://doi.org/10.48550/arxiv.2604.25262	0	8.700	co2,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,md,mof,separation	Here, we present a new high-temperature benchmarking dataset of 40~ps ab~initio molecular dynamics (AIMD) trajectories simulated at 300, 1000, and 2000 K for nine zinc- and zirconium-based metal-organic frameworks (MOFs): ZIF-8, CALF-20, MOF-10, MOF-5, MIP-206, UiO-66, UiO-67, UiO-66-NH2, and NU-1000.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
ReadMOF: Structure-Free Semantic Embeddings from Systematic MOF Nomenclature for Machine Learning	2026-04-13	ChemRxiv	https://doi.org/10.26434/chemrxiv.15001888/v1	https://doi.org/10.26434/chemrxiv.15001888/v1	0	8.533	foundation_model,h2,high_throughput,ml,mof	Here we introduce ReadMOF, which is, to our knowledge, the first nomenclature-free machine learning framework that leverages these names to model structure-property relationships without requiring atomic coordinates or connectivity graphs.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.
