title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
Accelerating Catalyst Materials Discovery With Large Artificial Intelligence Models	2026-02-17	Angewandte Chemie International Edition	https://doi.org/10.1002/anie.202526150	https://doi.org/10.1002/anie.202526150	20	15.500	active_learning,catalysis,foundation_model,h2,high_throughput,interatomic_potential,ml,multimodal,priority_journal	The integration of artificial intelligence (AI) into catalysis is fundamentally reshaping the research paradigm of catalyst discovery.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Machine learning approaches for electrocatalyst design in water splitting: a review for green hydrogen production	2026-07-31	Frontiers in Chemistry	https://doi.org/10.3389/fchem.2026.1894425	https://doi.org/10.3389/fchem.2026.1894425	0	15.278	active_learning,alloy,catalysis,catalyst_descriptor,dft,generative_model,gnn,h2,high_throughput,ml,review,water	First, the thermodynamic and kinetic principles of the hydrogen and oxygen evolution reactions are summarised, along with some well-adopted and accepted activity descriptors.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Machine learning-accelerated inverse design of energy materials: A critical review of graph neural networks, physics-informed models, and generative AI for batteries, perovskite solar cells, and electrocatalysts	2026-07-30	Next Materials	https://doi.org/10.1016/j.nxmate.2026.102969	https://doi.org/10.1016/j.nxmate.2026.102969	0	15.067	active_learning,battery,catalysis,crystal,dft,electrocatalysis,electrolyte,generative_model,gnn,h2,high_throughput,md,ml,perovskite,physics_informed,review,uncertainty	The global urgency to transition away from fossil fuels has placed extraordinary pressure on materials scientists to deliver breakthroughs in energy storage, solar energy conversion, and electrocatalysis — and to deliver them faster than the conventional trial-and-error research cycle allows.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Boosting Computational Catalysis and Chemical Reactivity with Artificial Intelligence	2026-02-20	Journal of the American Chemical Society	https://doi.org/10.1021/jacs.5c17786	https://doi.org/10.1021/jacs.5c17786	7	14.768	catalysis,foundation_model,generative_model,interatomic_potential,ml,priority_journal,review,separation	Artificial intelligence (AI) and machine learning (ML) are rapidly reshaping the landscape of computational chemistry, offering new opportunities for accelerating catalyst discovery and deepening our understanding of chemical reactivity.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Computational and ML methods in MOF based supercapacitors - from mechanistic understanding to future materials design	2026-08-29	Journal of Materials Science Materials Theory	https://doi.org/10.1186/s41313-026-00087-3	https://doi.org/10.1186/s41313-026-00087-3	0	14.600	active_learning,catalyst_descriptor,crystal,dft,electrocatalysis,high_throughput,ml,mof,physics_informed,porous_material,review,surrogate_model	Key insights from DFT are discussed in relation to three critical performance descriptors as electrical conductivity, electrochemical and structural stability, and redox activity.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Development of AI-eChemist Laboratory	2026-08-06	AI Agent	https://doi.org/10.20517/aiagent.2026.15	https://doi.org/10.20517/aiagent.2026.15	1	11.938	active_learning,catalysis,electrocatalysis,h2,high_throughput,ml,multimodal,review	As an autonomous experimental system tailored to electrochemical scenarios, the AI-eChemist Laboratory integrates front-end intelligent decision-making, automated high-throughput experimentation, multimodal characterization, and data-driven analysis, providing a new paradigm for the discovery, mechanistic understanding, and application validation of complex electrocatalytic materials.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
AI-Guided Single-Atom Electrocatalysts for Carbon-Neutral Chemical Manufacturing: from CO₂ Conversion to Green Ammonia Synthesis	2026-07-25	Scholars International Journal of Chemistry and Material Sciences	https://doi.org/10.36348/sijcms.2026.v09i04.004	https://doi.org/10.36348/sijcms.2026.v09i04.004	0	11.811	active_learning,catalysis,co2,dft,h2,high_throughput,ml,oxide,review,separation	Next, machine learning, density functional theory integration, high-throughput screening, explainable descriptors, and self-driving laboratory concepts are evaluated as tools for rational catalyst development.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Mesoporous single-atom and nano-confined catalysts: Enabling low-energy integrated CO2 capture and direct conversion	2026-09-03	Materials Today Sustainability	https://doi.org/10.1016/j.mtsust.2026.101445	https://doi.org/10.1016/j.mtsust.2026.101445	0	11.556	active_learning,catalysis,co2,electrocatalysis,generative_model,h2,mof,photocatalysis,porous_material,review,separation,water	Mesoporous architecture confinement engineering has become an effective approach to address major limitations of single-atom catalysts (SACs) and integrated CO 2 capture-conversion systems.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Harnessing Artificial Intelligence (AI) for a greener future: a review of AI advancements in green chemistry, chemical processes and sustainable materials	2026-06-01	Applied Intelligence	https://doi.org/10.1007/s10489-026-07326-7	https://doi.org/10.1007/s10489-026-07326-7	1	11.204	active_learning,catalysis,equivariant_ml,h2,ml,polymer,review,separation	The rise of artificial intelligence (AI), particularly machine learning (ML), is fundamentally reshaping how we pursue green chemistry and sustainable chemical processes.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Fine-tuning large language models to generate single-atom catalyst synthesis procedures	2026-06-19	Communications Chemistry	https://doi.org/10.1038/s42004-026-02046-y	https://doi.org/10.1038/s42004-026-02046-y	0	10.711	catalysis,foundation_model,h2,review,transfer_learning	We demonstrate the model's practicality through a user interface allowing researchers to query procedures tailored to their design conditions.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Perovskite‐Based Catalysts for the Oxygen Evolution Reaction: Synthesis, Device Relevant Performance, and Scale‐Up Strategies	2026-08-22	Small	https://doi.org/10.1002/smll.75231	https://doi.org/10.1002/smll.75231	0	10.622	catalysis,electrocatalysis,h2,high_throughput,oxide,perovskite,review,uncertainty,water	Perovskite-based oxides are promising electrocatalysts for the oxygen evolution reaction due to their flexible composition, tunable electronic structure, and robust nature.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
