title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
(Invited) Autonomous, Data-Driven Acceleration of Energy Storage Technology, from Electrons to Devices	2026-07-07	ECS Meeting Abstracts	https://doi.org/10.1149/ma2026-016651mtgabs	https://doi.org/10.1149/ma2026-016651mtgabs	0	28.556	active_learning,battery,catalysis,crystal,dft,electrocatalysis,electrolyte,equivariant_ml,force_field,foundation_model,generative_model,gnn,h2,high_throughput,interatomic_potential,md,ml,surrogate_model,transfer_learning,uncertainty	We introduce equivariant graph neural network frameworks that predict electron density across molecules, liquids, and solids at speeds orders of magnitude beyond density functional theory (DFT).	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Artificial intelligence and the frontier of phonon engineering: a perspective on discovering extreme thermal materials	2026-07-16	Journal of Materials Science Materials Theory	https://doi.org/10.1186/s41313-026-00083-7	https://doi.org/10.1186/s41313-026-00083-7	0	18.956	active_learning,crystal,generative_model,gnn,h2,high_throughput,interatomic_potential,ml,review,uncertainty	The discovery of materials with extreme lattice thermal conductivity (κ L )—spanning from sub-air thermal insulators to metallic conductors that rival diamond—represents one of the most consequential frontiers in contemporary materials physics and engineering.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
AI-Driven Analytical and Molecular Data Modeling for Environmental and Pharmaceutical Applications	2026-07-11	Scholars International Journal of Chemistry and Material Sciences	https://doi.org/10.36348/sijcms.2026.v09i04.002	https://doi.org/10.36348/sijcms.2026.v09i04.002	0	18.700	electrocatalysis,equivariant_ml,foundation_model,gnn,high_throughput,ml,multimodal,reaction_dataset,remote_sensing,review,uncertainty	It examines data obtained from spectroscopy, chromatography, mass spectrometry, electrochemical sensors, hyperspectral imaging, process monitoring, molecular descriptors, fingerprints, SMILES, graphs, three-dimensional structures, proteins, and omics.	Catalyst generality inferred from sparse historical reaction data can still reflect reporting bias and needs targeted validation. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Rebuild the workflow on MOF catalytic reaction families with explicit scaffold generality, reporting-bias, and validation splits. Test whether multi-scale segmentation or domain adaptation ideas help classify pore regions, topology families, or morphology maps.	Reaction-specific small-data workflow is useful for MOF catalysis if catalyst generality, literature bias, and scaffold validation are made explicit.	distant cross-domain method	Translate multi-scale segmentation, domain adaptation, or change-detection logic to pore-region maps, morphology images, topology families, or spatially resolved MOF characterization data.
From Newton to Neural Networks: A Review of Data-Driven Physical Modelling and the Rise of Physics-Informed AI	2026-07-17	INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS	https://doi.org/10.47191/ijmra/v9-i7-28	https://doi.org/10.47191/ijmra/v9-i7-28	0	18.667	active_learning,dft,foundation_model,high_throughput,md,ml,physics_informed,review,uncertainty	This review examines the evolution of physical modelling from classical first-principles approaches to contemporary data-driven and physics-informed learning frameworks.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	distant method analogy	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
The evolution of AI from image interpretation toward scientific inference in nanoparticle electron microscopy	2026-07-11	arXiv (Cornell University)		https://arxiv.org/abs/2607.10388	0	17.900	active_learning,foundation_model,h2,high_throughput,image_analysis,md,ml,multimodal,physics_informed,review,self_supervised	Artificial intelligence (AI) is transforming electron microscopy by enabling quantitative analysis of increasingly large and complex datasets for nanoparticle characterization.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Map the method onto MOF structure images, spectra, isotherm curves, or generated-structure consistency checks. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Distant-domain method can be useful if it maps to a concrete MOF object such as structure images, spectra, isotherms, pore maps, or multimodal consistency checks.	distant cross-domain method	Translate visual-artifact or metadata-consistency logic to MOF structure images/renders, spectra, isotherm curves, generated CIF validation, or multimodal paper-structure consistency checks.
Artificial Intelligence and Machine Learning in the Design of Nanomaterials for Next-Generation Solar Cells	2026-07-09	Scholars Journal of Engineering and Technology	https://doi.org/10.36347/sjet.2026.v14i07.002	https://doi.org/10.36347/sjet.2026.v14i07.002	0	17.778	active_learning,dft,generative_model,high_throughput,ml,perovskite,review,uncertainty	Through training on curated experimental datasets, high-throughput density functional theory (DFT) calculations, and multi-scale simulations, ML models can approximate complex structure–property relationships, identify optimal synthesis windows, and guide experimental efforts with quantifiable uncertainty.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
Machine Learning in Materials Science: Data-Driven Discovery and Functional Applications	2026-07-06	Encyclopedia	https://doi.org/10.3390/encyclopedia6070150	https://doi.org/10.3390/encyclopedia6070150	0	17.744	dft,high_throughput,md,ml,physics_informed,review,surrogate_model,uncertainty	It is also distinct from materials informatics, which is the wider data-centered framework that includes databases, descriptors, metadata, workflows, visualization, and knowledge management.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	distant method analogy	Use uncertainty or acquisition logic to choose which MOF DFT, MD, or GCMC labels to compute next.
FLOWR.ROOT – A flow matching-based foundation model for joint multi-purpose structure-aware 3D ligand generation and affinity prediction	2026-07-06	Nature Communications	https://doi.org/10.1038/s41467-026-74130-9	https://doi.org/10.1038/s41467-026-74130-9	1	17.238	crystal,equivariant_ml,foundation_model,priority_journal,self_supervised,separation,transfer_learning	Abstract We present FLOWR.ROOT, an S E (3)-equivariant flow-matching foundation model that unifies pocket-aware 3D ligand generation with multi-endpoint binding affinity prediction (pIC 50 , p K i , p K d , pEC 50 ) and pLDDT-based confidence estimation in a single backbone.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Artificial intelligence and automation in enzyme engineering: evolution, advances, and future perspectives	2026-07-10	Bioresources and Bioprocessing	https://doi.org/10.1186/s40643-026-01096-3	https://doi.org/10.1186/s40643-026-01096-3	0	17.089	active_learning,ml,reaction_dataset,review,self_supervised,uncertainty	Natural enzymes often fail to meet industrial demands for catalytic efficiency, stability, and substrate specificity, creating a critical bottleneck in biomanufacturing.	Catalyst generality inferred from sparse historical reaction data can still reflect reporting bias and needs targeted validation. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Rebuild the workflow on MOF catalytic reaction families with explicit scaffold generality, reporting-bias, and validation splits. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Reaction-specific small-data workflow is useful for MOF catalysis if catalyst generality, literature bias, and scaffold validation are made explicit.	distant method analogy	Adapt catalyst-generality scoring to MOF catalytic reaction families, biased literature data, and targeted experimental or DFT validation.
Fine-tuning universal machine learning potentials for transition state search in surface catalysis	2026-07-09	npj Computational Materials	https://doi.org/10.1038/s41524-026-02228-1	https://doi.org/10.1038/s41524-026-02228-1	0	16.278	active_learning,alloy,catalysis,dft,h2,high_throughput,interatomic_potential,ml,priority_journal,transfer_learning	Here, we present a workflow based on active learning to iteratively fine-tune uMLPs for DFT-quality TS search.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
