title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
The impact of spurious imaginary phonon modes on thermal properties of Metal-organic Frameworks	2026-07-17	npj Computational Materials	https://doi.org/10.1038/s41524-026-02231-6	https://doi.org/10.1038/s41524-026-02231-6	0	11.578	adsorption,co2,dft,h2,high_throughput,interatomic_potential,ml,mof,porous_material,priority_journal,separation	Finally, we introduce a simple, rapid post-processing workflow that can be applied to standard phonon calculations to effectively correct heat capacity estimates and account for spurious imaginary modes in MOFs.	Likely sensitive to training-set coverage and transferability across chemistries. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Interaction topology theory deciphers multiscale codes of MOF-like materials	2026-08-21	Science Advances	https://doi.org/10.1126/sciadv.aee8016	https://doi.org/10.1126/sciadv.aee8016	0	10.467	adsorption,catalysis,h2,ml,mof,porous_material,priority_journal,self_supervised,separation,transfer_learning	We develop an interaction topology theory and propose the interaction topological transformer (ITT), a data-efficient framework that captures materials information across multiple scales and levels, including structural, elemental, atomic, and pairwise-elemental organization.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Data-driven Design of Metal-Organic Frameworks with Tunable Negative Thermal Expansion	2026-07-21	arXiv (Cornell University)		https://arxiv.org/abs/2607.18594	0	10.122	dft,equivariant_ml,h2,high_throughput,interatomic_potential,ml,mof	Here, we comprehensively evaluate the factors influencing NTE in MOFs by utilizing a high-throughput workflow based on MACE-MP-MOF0, a machine learning interatomic potential fine-tuned for MOFs with near-ab initio accuracy, to construct PhononMOFdb, a database of phonons, inelastic neutron scattering spectra, bulk moduli, and heat capacities for over 12,000 MOFs.	Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled. Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties. Extend training to guest-loaded, distorted, and diffusion-transition configurations.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Smart Catalyst Design: Integrating Structure–Activity Relationships with Computational and Data-Driven Approaches	2026-04-22	International Journal of Creative and Open Research in Engineering and Management	https://doi.org/10.55041/ijcope.v2i4.571	https://doi.org/10.55041/ijcope.v2i4.571	0	9.622	catalysis,catalyst_descriptor,co2,electrocatalysis,high_throughput,ml,mof,review,separation	Special attention is given to the emerging approaches based on the exploitation of designer-like methods, high-throughput experimentation, and data-driven approaches, to explore huge compositional and structural spaces.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Likely sensitive to training-set coverage and transferability across chemistries.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
AIM 2 DAT : a python-based automated ab initio material modeling and data analysis toolkit	2026-07-13	Electronic Structure	https://doi.org/10.1088/2516-1075/ae8964	https://doi.org/10.1088/2516-1075/ae8964	0	9.033	battery,dft,h2,high_throughput,ml,mof	Herein, we introduce the automated ab initio materials modeling and data analysis toolkit ( aim 2 dat ), a Python package offering a user-friendly interface to generate and handle big data, design high-throughput workflows based on density functional theory calculations, and analyze the output.	Likely sensitive to training-set coverage and transferability across chemistries. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Chemically Meaningful Textualization Enables Explainable Validation of Metal-Organic Frameworks by Large Language Models	2026-08-11	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2608.11283	https://arxiv.org/abs/2608.11283	0	8.856	crystal,foundation_model,h2,high_throughput,mof	Computation-ready metal-organic framework (MOF) databases are essential for high-throughput screening, yet many reported crystal structures remain chemically unreasonable or disordered, compromising simulation fidelity.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Fast Isotropic Li-Ion Diffusion in Zeolitic Imidazolate Framework Glass Electrolytes for Batteries	2026-08-07	arXiv (Cornell University)		https://arxiv.org/abs/2608.06902	0	8.811	battery,crystal,electrolyte,h2,interatomic_potential,md,ml,mof	This is realized by using a machine learning interatomic potential to simulate Li+ transport in crystalline and glassy ZIF-4 and ZIF-62.	Likely sensitive to training-set coverage and transferability across chemistries.	Extend training to guest-loaded, distorted, and diffusion-transition configurations. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
AI-integrated manufacturing of advanced materials for energy storage, catalysis, and environmental applications	2026-07-03	Frontiers in Chemistry	https://doi.org/10.3389/fchem.2026.1864044	https://doi.org/10.3389/fchem.2026.1864044	1	8.615	active_learning,adsorption,catalysis,catalyst_descriptor,co2,dft,electrocatalysis,h2,high_throughput,ml,mof,separation	The incorporation of artificial intelligence (AI) into energy systems has become a transformative strategy for tackling global energy related challenges, particularly energy vulnerability (EVI).	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Data-Driven Design of Metal-Organic Frameworks for Photoelectrochemical Reactions	2026-07-16	ACS Energy Letters	https://doi.org/10.1021/acsenergylett.6c00550	https://doi.org/10.1021/acsenergylett.6c00550	1	8.260	battery,co2,electrocatalysis,h2,high_throughput,ml,mof,multimodal,photocatalysis,porous_material,separation	We present a data-driven workflow integrating hybrid quantum chemical calculations with a multimodal AI model (MOFTransformer) to efficiently predict oxidation and reduction potentials for over 270,000 known and hypothetical MOFs.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Metal-organic frameworks (MOF)-mediated improvement of cotton germination and early seedling resilience under salinity stress through explainable machine learning and non-destructive terahertz time-domain spectroscopy (THz-TDS)	2026-08-20	Industrial Crops and Products	https://doi.org/10.1016/j.indcrop.2026.124180	https://doi.org/10.1016/j.indcrop.2026.124180	0	7.956	catalyst_descriptor,h2,md,ml,mof,symbolic_regression,water	Cobalt-based metal-organic framework (Co-MOF) and nickel-cobalt bimetallic MOF (Ni-Co-MOF) systems were evaluated for their effects on cotton germination under saline conditions induced through NaCl seed priming treatments.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Likely sensitive to training-set coverage and transferability across chemistries.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
